"filename", "language", "Dart", "comment", "blank", "total"
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\usuario\users.dart", "Dart", 74, 0, 5, 79
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\usuario\userstable.dart", "Dart", 367, 2, 8, 377
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\usuario\userview.dart", "Dart", 767, 2, 21, 790
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\utils\buttons.dart", "Dart", 137, 0, 6, 143
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\utils\charts.dart", "Dart", 384, 1, 21, 406
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\utils\fields.dart", "Dart", 131, 0, 11, 142
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\utils\myalerts.dart", "Dart", 94, 0, 3, 97
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\utils\mycolors.dart", "Dart", 10, 0, 2, 12
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\utils\strfuncs.dart", "Dart", 15, 1, 3, 19
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\utils\tiles.dart", "Dart", 48, 0, 4, 52
"d:\Proyecto\App Dincydet\AppMovilDincydetV1\app_movil_dincydet\lib\src\utils\userinfo.dart", "Dart", 10, 0, 2, 12
"Total", "-", 11668, 199, 530, 12397
